epoch,runner_id,player_name,season,SB_used,CS_used,real_sb_pct,sb_residual,pred
full,665742,Juan Soto,2019,12,1,0.8759612757153453,0.12572291489433896,0.40232407974479334
full,665742,Juan Soto,2021,9,7,0.6079668077560102,-0.1413612374959673,0.6111097299307282
full,665742,Juan Soto,2023,12,5,0.7166955892216461,-0.03262957577040748,0.6613572895832897
full,647304,Josh Naylor,2023,10,3,0.7648501646042342,0.008291439478665619,0.6646897093960991
full,665742,Juan Soto,2024,7,4,0.6729564351797634,-0.07636872981229015,0.6825110272940037
full,665742,Juan Soto,2025,38,4,0.8886660204867279,0.1321072953611594,0.5180222706790605
full,647304,Josh Naylor,2025,30,2,0.9126298098074652,0.1256498084821922,0.41761544748714186
full,647304,Josh Naylor,2026,12,2,0.8298580506776956,0.04583619347432499,0.6470868641090781
pre_2023,665742,Juan Soto,2019,12,1,0.8759612757153453,0.12572291489433896,0.2796257925066179
pre_2023,665742,Juan Soto,2021,9,7,0.6079668077560102,-0.1413612374959673,0.5680470062720401
post_2023,665742,Juan Soto,2023,12,5,0.7166955892216461,-0.03262957577040748,0.6659097823128822
post_2023,647304,Josh Naylor,2023,10,3,0.7648501646042342,0.008291439478665619,0.7468794983150515
post_2023,665742,Juan Soto,2024,7,4,0.6729564351797634,-0.07636872981229015,0.7012234496935519
post_2023,665742,Juan Soto,2025,38,4,0.8886660204867279,0.1321072953611594,0.4947163830723749
post_2023,647304,Josh Naylor,2025,30,2,0.9126298098074652,0.1256498084821922,0.5287699643432462
post_2023,647304,Josh Naylor,2026,12,2,0.8298580506776956,0.04583619347432499,0.7853543648230198
