play_id,pitcher,pitcher_name,catcher,catcher_name,batter,batter_name,p_throws,ab_number,pitch_number,inning,des,start_speed,pitch_type,call_name,game_pk,at_bat_number,clip_id,mp4_url,downloaded
0b6ea438-c809-4d44-8004-1e205608f16b,592332,Kevin Gausman,643376,Danny Jansen,669222,Nick Senzel,R,27,4,3,Nick Senzel strikes out swinging. CJ Abrams steals (8) 2nd base.,85.0,FS,Strike,744862,27,0b6ea438_gausman_R.mp4,https://sporty-clips.mlb.com/cTgzM2xfWGw0TUFRPT1fQmxOWEFRVUFWUW9BVzFvQ1h3QUFWUUpTQUZrRlUxVUFBd0FIQUFZREFRc0RBUVFF.mp4,True
0028354f-d314-42ea-bfa8-2e9e9a128132,605135,Chris Bassitt,672386,Alejandro Kirk,592273,Brandon Drury,R,11,5,2,Brandon Drury called out on strikes. Niko Kavadas to 2nd. Anthony Rendon steals (6) 3rd base. Niko Kavadas steals (1) 2nd base.,70.8,CU,Strike,744889,11,0028354f_bassitt_R.mp4,https://sporty-clips.mlb.com/MzVCRFZfWGw0TUFRPT1fQmdGVFhGY0JVbFFBWEZFRFVnQUFBMU1IQUFOVEFsa0FBQUFNVlFwVUFBRmRBUUZV.mp4,True
f9188098-cbb7-44ec-bbf5-badb00dd555e,592332,Kevin Gausman,672386,Alejandro Kirk,664034,Ty France,R,11,4,2,"Ty France called out on strikes and Spencer Steer caught stealing 2nd, catcher Alejandro Kirk to second baseman Will Wagner to catcher Alejandro Kirk.",93.8,FF,Strike,744898,11,f9188098_gausman_R.mp4,https://sporty-clips.mlb.com/OVpLQnlfWGw0TUFRPT1fVUFoUVhGd0VYd29BV3dCUVVRQUFCVk1GQUFOWEJWUUFVQVJSVWdNRlZWZFFCUWNE.mp4,True
7a8fbf89-18ec-4936-b99c-92327d16de22,605135,Chris Bassitt,643376,Danny Jansen,670764,Taylor Walls,R,12,6,2,Taylor Walls strikes out swinging. Amed Rosario steals (8) 2nd base.,92.9,SI,Strike,744907,12,7a8fbf89_bassitt_R.mp4,https://sporty-clips.mlb.com/NFg1RE5fWGw0TUFRPT1fQVZCWkFnWlNYZ3NBQ1ZwWEJRQUFDQVZRQUFNTVdnSUFDMWNHQWdSUkFBVUJWUUJV.mp4,True
e106dcd3-13a1-4f75-9906-ddfa135c4a69,592332,Kevin Gausman,643376,Danny Jansen,641933,Tyler O'Neill,R,42,6,5,Tyler O'Neill strikes out swinging. David Hamilton steals (20) 2nd base.,87.7,FS,Strike,744920,42,e106dcd3_gausman_R.mp4,https://sporty-clips.mlb.com/bkdnQXZfWGw0TUFRPT1fVXdCUlVnQlhBZ0VBQ1ZGVFZ3QUFWd0ZUQUZnTVUxY0FWZ0ZUVVFJR0JGQlJVUVJm.mp4,True
da344eb5-eb5b-4138-b8eb-be62def9d1a6,605135,Chris Bassitt,672386,Alejandro Kirk,669224,Austin Wells,R,47,6,6,"Austin Wells called out on strikes and Gleyber Torres caught stealing 2nd, catcher Alejandro Kirk to shortstop Bo Bichette to catcher Alejandro Kirk.",94.8,SI,Strike,744921,47,da344eb5_bassitt_R.mp4,https://sporty-clips.mlb.com/eVpLNlBfWGw0TUFRPT1fVWxCU1VGQlJCQWNBWFFBSEJBQUFBQVZlQUFNTkJnTUFVQUFEQWxkUVZ3b0JBVk5R.mp4,True
c1cf66e8-f901-428f-9434-6b5541b8d0bb,594902,Ben Lively,666310,Bo Naylor,643396,Isiah Kiner-Falefa,R,16,4,2,Isiah Kiner-Falefa strikes out swinging. Addison Barger steals (1) 2nd base.,79.2,ST,Strike,744926,16,c1cf66e8_lively_R.mp4,https://sporty-clips.mlb.com/TGxya09fWGw0TUFRPT1fVlFBQ0FsSUNBd29BWGxzQ1Z3QUFBdzRBQUZnQlVGVUFCQWNBQlFjRVV3c0JBRkFF.mp4,True
a93076b6-0083-40df-a1ba-055ca731983d,570632,José Ureña,668800,Andrew Knizner,656811,Ryan O'Hearn,R,35,9,4,Ryan O'Hearn strikes out swinging. Anthony Santander steals (1) 2nd base.,89.8,CH,Strike,744994,35,a93076b6_urena_R.mp4,https://sporty-clips.mlb.com/TndnWDZfWGw0TUFRPT1fVndoU1ZGTUNCQVFBQ0ZJS1ZRQUFBVklBQUFBRUFRQUFBbEFBVTFJQ0FnSmNDQUVD.mp4,True
836d520f-c796-4126-be1d-5daa14dedd94,570632,José Ureña,668800,Andrew Knizner,680118,Dairon Blanco,R,42,4,6,"Dairon Blanco strikes out swinging and Maikel Garcia caught stealing 2nd, catcher Andrew Knizner to second baseman Marcus Semien to catcher Andrew Knizner.",88.5,SL,Strike,745000,42,836d520f_urena_R.mp4,https://sporty-clips.mlb.com/MVkzTXJfWGw0TUFRPT1fRGdKWEFGRUdWbFFBVzFVTFVBQUFBQVJRQUFOUVVnVUFCd0ZVVVFJQlZWWUJWQXRT.mp4,True
28a9b0ce-f461-4333-be06-ac93deffe44a,621107,Zach Eflin,543510,James McCann,642350,Jose Siri,R,41,6,5,Jose Siri strikes out swinging. Taylor Walls steals (7) 2nd base.,88.2,FC,Strike,745062,41,28a9b0ce_eflin_R.mp4,https://sporty-clips.mlb.com/cTgzQTRfWGw0TUFRPT1fQkFrQVhRWUVCVmNBWGxZRVZ3QUFBZ1ZWQUFOUVUxY0FVd1lNQTFkUVYxVUFCQVlI.mp4,True
