play_id,pitcher,pitcher_name,catcher,catcher_name,batter,batter_name,p_throws,ab_number,pitch_number,inning,des,start_speed,pitch_type,call_name,game_pk,at_bat_number,_is_naylor,_clip_prefix,clip_id,is_naylor,mp4_url,downloaded
4cf1925d-4dfc-4f2f-85d3-609752b7bea5,681982,Grant Anderson,641680,Jonah Heim,686823,Will Brennan,R,76,2,9,Will Brennan hit by pitch.,93.3,FF,Ball,745014,76,1,,NAYLOR_4cf1925d_anderson_R.mp4,1,https://sporty-clips.mlb.com/UGoxUmRfWGw0TUFRPT1fQWxJSFZWMEdVMVlBREFaVUJRQUFWd1FBQUZrQUIxSUFCRlVNQndZSFV3UUhWVk5U.mp4,True
5bdaa70b-960f-4266-9aa1-d62fbdbdaa19,681982,Grant Anderson,641680,Jonah Heim,681351,Logan O'Hoppe,R,38,2,5,Logan O'Hoppe walks.,91.7,SI,Ball,745016,38,0,,5bdaa70b_anderson_R.mp4,0,https://sporty-clips.mlb.com/WmU5R2VfWGw0TUFRPT1fQTFNRkJRVURWbEFBQVZRQ0FBQUFBd0JRQUZoVUFsQUFWbE1IVmxGUlUxY0VVUU5m.mp4,True
ceda9c36-defb-4309-bb67-acad76461e43,672578,Carlos Hernández,666023,Freddy Fermin,650490,Yandy Díaz,R,55,3,7,"Yandy Díaz grounds out, pitcher Carlos Hernández to first baseman Salvador Perez.",97.7,FF,Strike,745088,55,0,,ceda9c36_hernandez_R.mp4,0,https://sporty-clips.mlb.com/MVkzNXJfWGw0TUFRPT1fVlZRRkJWMVhWUVFBWEFkVUJBQUFBZ1pmQUFOWFZWWUFVd1pVVkFRREJRVlVWUVpW.mp4,True
08d41ea7-74bc-48a2-93a3-c6caa40d91d7,666205,Kyle Muller,691016,Tyler Soderstrom,641680,Jonah Heim,L,77,2,8,Jonah Heim singles on a ground ball to left fielder Tyler Nevin. Josh Smith scores. Jonah Heim to 2nd.,91.7,FF,Ball,745659,77,0,,08d41ea7_muller_L.mp4,0,https://sporty-clips.mlb.com/V3kxd1BfWGw0TUFRPT1fQmdrRlVGVlJCd1VBRDFaUUJRQUFDVmRVQUZnR0FsSUFVVk5XVVZJQkFWZGNBVlpS.mp4,True
d21c5fbb-d373-42c1-a6fb-ef1659bad0a4,666205,Kyle Muller,669127,Shea Langeliers,681807,David Fry,L,37,1,5,"David Fry singles on a sharp ground ball to left fielder Seth Brown, deflected by shortstop Nick Allen.",77.0,CU,Ball,745687,37,1,,NAYLOR_d21c5fbb_muller_L.mp4,1,https://sporty-clips.mlb.com/dk1Bek9fWGw0TUFRPT1fVWdOUUIxRlNCRkFBWEZFRlZRQUFBMVZYQUFBREJRTUFWd01FQmdZTVUxSUJBRk5T.mp4,True
3edefb43-d4e9-4635-ad4b-f2f1c9e7201a,641482,Nestor Cortes,624431,Jose Trevino,663527,Tyler Nevin,L,37,2,5,Tyler Nevin strikes out swinging.,91.9,FF,Strike,745755,37,0,,3edefb43_cortes_L.mp4,0,https://sporty-clips.mlb.com/TVpSWmRfWGw0TUFRPT1fQlZRRkFRSldVZ0VBWEZaWFh3QUFCd1ZUQUFCUlZ3TUFWRmRUQVZBTVZBUlhBQU1I.mp4,True
f255f43d-d157-4138-b22b-27a2433a3f1d,672578,Carlos Hernández,666023,Freddy Fermin,650489,Willi Castro,R,62,1,8,"Willi Castro grounds out, second baseman Nick Loftin to first baseman Salvador Perez. Byron Buxton to 3rd.",98.1,FF,Strike,745903,62,0,,f255f43d_hernandez_R.mp4,0,https://sporty-clips.mlb.com/QnZ6eFFfWGw0TUFRPT1fVUFOVVVRSUFWVllBWEZNSFVRQUFBQVZlQUFNSFVRTUFBRkpVQWdjR0FsSldWZ01D.mp4,True
8d36bb05-529c-4f68-af6a-7347a97b8927,689225,Beau Brieske,608348,Carson Kelly,666160,Mickey Moniak,R,45,1,6,Mickey Moniak strikes out on a foul tip.,86.0,CH,Ball,746210,45,0,,8d36bb05_brieske_R.mp4,0,https://sporty-clips.mlb.com/OVpCOGpfWGw0TUFRPT1fRGxWU1VnWldWZ2NBRFZBTEJRQUFWd0JlQUFCVFZRQUFCVllCQjFJTUJsRmRDUUJS.mp4,True
ea0116d0-504b-4cbf-b8cf-4d02952f412a,672578,Carlos Hernández,521692,Salvador Perez,678877,Jhonkensy Noel,R,56,5,8,Jhonkensy Noel flies out to right fielder Tommy Pham.,99.6,FF,Ball,746265,56,1,,NAYLOR_ea0116d0_hernandez_R.mp4,1,https://sporty-clips.mlb.com/eVozMFJfWGw0TUFRPT1fVTFCUlZWVUNBZ0lBRFZJR0JBQUFVbFFBQUFNTkFBY0FCZ0VGQWdvQUExVlJBUUFI.mp4,True
742ec592-9aa7-49e0-adef-175432fb7aca,689225,Beau Brieske,668670,Jake Rogers,608324,Alex Bregman,R,55,1,7,"Chas McCormick caught stealing 2nd base, catcher Jake Rogers to second baseman Colt Keith.",86.5,SL,Strike,746378,55,0,,742ec592_brieske_R.mp4,0,https://sporty-clips.mlb.com/b25lVldfWGw0TUFRPT1fQVFWVEFRY0JYd0FBQVFOVFVRQUFDRk5XQUFCUkJnY0FBMUlBQkFBSFYxRlNVVkVI.mp4,True
e7b469ba-c76a-4bd4-85cd-d562cc075ec5,681982,Grant Anderson,641680,Jonah Heim,595909,Jake Cave,R,68,1,8,Grant Anderson intentionally walks Jake Cave.,80.3,SL,Strike,746553,68,0,,e7b469ba_anderson_R.mp4,0,https://sporty-clips.mlb.com/S3d2TGxfWGw0TUFRPT1fVXdZRFVGSU5CRk1BVzFVRUJ3QUFVMUpTQUZrQUFBVUFWbEFEQWxCV0FRUlFWVkZU.mp4,True
fa1334eb-0ae0-4c7f-9a49-6e0368feb283,689225,Beau Brieske,608348,Carson Kelly,678877,Jhonkensy Noel,R,58,1,8,"Jhonkensy Noel grounds out, shortstop Javier Báez to first baseman Gio Urshela.",96.0,SI,Strike,746611,58,1,,NAYLOR_fa1334eb_brieske_R.mp4,1,https://sporty-clips.mlb.com/TVpSRFdfWGw0TUFRPT1fVUZCUVYxY0FBMUFBQ0FOWFZnQUFVZ0VBQUZoVVYxZ0FCQUFGQXdVTlYxWUhBZ3BW.mp4,True
809a3752-ed83-4cb0-8fdb-4cc9f2f00681,455119,Chris Martin,624512,Reese McGuire,608070,José Ramírez,R,63,3,7,José Ramírez singles on a line drive to center fielder Jarren Duran.,95.4,FF,Ball,746646,63,0,,809a3752_martin_R.mp4,0,https://sporty-clips.mlb.com/WVFZVnlfWGw0TUFRPT1fRGdGWUJWY0RVd0FBWFFZS1ZRQUFVbFJXQUZsVEJ3TUFCZ1pXQ1ZVSFZ3TlZCZ3BY.mp4,True
cb402d93-5cfd-4a83-a072-c93950e931e0,455119,Chris Martin,624512,Reese McGuire,647304,Josh Naylor,R,64,3,7,Chris Martin intentionally walks Josh Naylor.,95.9,FF,Strike,746646,64,0,,cb402d93_martin_R.mp4,0,https://sporty-clips.mlb.com/WVFZVnlfWGw0TUFRPT1fVlZOVlZGWlFYd0VBRFFGVUFnQUFVQTVWQUFBRlZGTUFVVndHQ1FZRlZBcFdBVmRX.mp4,True
050d8599-ba66-4d93-8ff7-18650e4df0fc,455119,Chris Martin,624512,Reese McGuire,681807,David Fry,R,65,3,7,"David Fry flies into a double play, right fielder Wilyer Abreu to catcher Reese McGuire. Josh Naylor out at home.",92.9,FC,Ball,746646,65,1,,NAYLOR_050d8599_martin_R.mp4,1,https://sporty-clips.mlb.com/WVFZVnlfWGw0TUFRPT1fQmdSUkFGd0JYd3NBV2dNRVVBQUFWUTlWQUZsVEJWWUFBMTBEQlFOUUJWY0RBRlFG.mp4,True
2df43783-b547-430a-a7bd-4cfb6c4af3ce,641482,Nestor Cortes,624431,Jose Trevino,681807,David Fry,L,28,3,3,"Josh Naylor caught stealing 3rd base, pitcher Nestor Cortes to third baseman Oswaldo Cabrera.",92.6,FF,Ball,746648,28,1,,NAYLOR_2df43783_cortes_L.mp4,1,https://sporty-clips.mlb.com/NU53OU1fWGw0TUFRPT1fQkZVSFVGY0RYZ0VBV2xjR1VRQUFBZ1lIQUFBQ0FRVUFCZ1pUVWdWV0JWSURBMUVE.mp4,True
1c233bbb-ce74-406f-9dae-fee7efd898c6,666205,Kyle Muller,668832,Kyle McCann,656775,Cedric Mullins,L,47,5,5,"Cedric Mullins grounds out, shortstop Darell Hernaiz to first baseman Ryan Noda.",93.5,FF,Ball,747045,47,0,,1c233bbb_muller_L.mp4,0,https://sporty-clips.mlb.com/MzVEZVZfWGw0TUFRPT1fQjFKVFYxZFdCRkFBV3djRlVnQUFBUUFBQUZoUkFnUUFWQUJRQjFaVFZRdGNDRkZR.mp4,True
613f3858-4d2c-489d-bb94-4845744c88d0,519242,Chris Sale,518595,Travis d'Arnaud,640492,José Azócar,L,32,2,4,José Azocar flies out to right fielder Ronald Acuña Jr.,78.0,SL,Strike,747121,32,0,,613f3858_sale_L.mp4,0,https://sporty-clips.mlb.com/eVozeVBfWGw0TUFRPT1fQUFCU0FsY01Vd29BREFZQUJRQUFDUThDQUFOWFdsVUFCbDBCQlFRQkJWQmRDRlpX.mp4,True
