runner_id,player_name,season,sprint_speed,speed_capped,split_15_60,accel_0_30,maintain_30_90,total_90,accel_gap,bolts,SB,CS,real_sb_attempts,real_sb_pct,expected_sb_pct,sb_residual,pct_sprint_speed,pct_accel_0_30,pct_total_90,lead_tendency_z,n_opportunities,sim_attempts,sim_successes,avg_primary_lead,avg_secondary_lead,avg_lead_gain,avg_lead_off,avg_jump_time,avg_pitcher_ttp,avg_catcher_pop,sim_success_rate,sb_residual_z,accel_gap_z,lead_gain_z,jump_z,lead_off_z,speed_cap_z,accel_z,SSSI_v1,SSSI_capped,SSSI_composite,SSSI_v3_fixed,SSSI_v3_opt,rank_fixed,rank_opt,rank_composite
457705,"McCutchen, Andrew",2023,28.4,28.0,1.8,1.81,2.17,3.98,-29.639639639639633,2,11,3,14,0.7863265117017897,0.7922896282748786,-0.0059631165730889,77.29729729729729,47.65765765765766,62.972972972972975,-1.188763054322851,135,14,9,12.321185185185184,18.1217037037037,5.801111111111111,10.993481481481481,0.30806666666666666,1.332762962962963,2.046488888888889,0.6428571428571429,-0.07158312104722452,-1.2867979431250431,-0.8840058596453007,-1.0667464965348412,-1.0409403451015156,0.5455591390052247,-0.8881123476836942,-1.0514103667007304,-1.4295649986505254,-3.5372518402868818,-0.7174010982084814,-0.5614130892046656,448,445,447
462101,"Andrus, Elvis",2023,26.5,26.5,1.85,1.85,2.27,4.12,-2.162162162162158,0,12,4,16,0.759057320111143,0.7832029446204287,-0.0241456245092857,27.74774774774775,25.58558558558559,28.55855855855856,-0.3937411722245721,149,10,5,13.13228187919463,18.47006711409396,5.338590604026846,11.833422818791947,0.3000738255033557,1.3238187919463087,2.046181208053691,0.5,-0.2950541245454137,-0.010661493418210106,-1.3242224179368347,-0.8730147500146912,0.1083311912476228,-2.0159709136573905,-1.8021820499969754,0.32327818795706387,0.6917484957205557,-0.07293506304651265,-0.2802374898298099,0.24016888210525195,349,138,245
500743,"Rojas, Miguel",2023,26.4,26.4,1.88,1.86,2.31,4.17,-3.6936936936936924,0,8,3,11,0.7462627326458753,0.7835873118663028,-0.037324579220427534,24.684684684684687,20.990990990990994,18.91891891891892,0.19779008194185213,148,13,2,13.49614864864865,19.04695945945946,5.550337837837838,12.277364864864865,0.27558783783783786,1.3302229729729729,2.060243243243243,0.15384615384615385,-0.45702926266665556,-0.0817904102871157,-1.1226861896652411,-0.27951951361660016,0.7157664187766313,-2.1867395838349006,-2.030699475575296,0.620335737962834,1.0640533941696595,1.5003002993296906,-0.1958491032471464,0.3879545586628389,321,86,133
500743,"Rojas, Miguel",2024,25.8,25.8,1.91,1.88,2.36,4.24,-3.3771106941838624,0,8,2,10,0.7960135814889336,0.7877050042249518,0.00830857726398182,14.634146341463413,11.257035647279551,11.350844277673545,-1.2348130869114786,155,4,1,12.647741935483872,17.035096774193548,4.387096774193548,11.446903225806452,0.3381870967741935,1.3276838709677419,2.0476451612903226,0.25,0.10382226057452645,-0.06708734646463911,-2.2298327262134667,-1.7968102387563976,-0.42053427438344815,-3.211351604899943,-2.4877343267319314,0.08631713181965806,0.9815188786864764,-1.23582563445337,-0.37607582541608287,0.37607814835197356,372,92,333
502054,"Pham, Tommy",2023,27.8,27.8,1.81,1.83,2.18,4.01,-25.675675675675677,0,22,3,25,0.8646734574111334,0.786055955585494,0.07861750182563942,61.62162162162163,35.94594594594595,55.4054054054054,-0.22385881688049952,172,17,12,12.921453488372093,19.15156976744186,6.23017441860465,11.754999999999999,0.27768023255813956,1.3242616279069768,2.048598837209302,0.7058823529411765,0.9679498045748485,-1.1026995700525823,-0.47563310725709873,-0.3302353073238872,0.0010271338875577616,0.2040217986502105,-1.3451471988403347,-0.06990968390747909,-0.6796549059073093,-1.0088630793436386,-0.05135933427665694,0.05082514045687402,276,223,314
502054,"Pham, Tommy",2024,27.2,27.2,1.82,1.84,2.21,4.05,-14.165103189493422,0,7,3,10,0.729346914822267,0.78292769241052,-0.05358077758825297,43.05816135084427,28.89305816135085,41.55722326454033,0.9086013598921112,181,29,13,13.47110497237569,20.284751381215468,6.813425414364641,12.641657458563536,0.23771270718232046,1.3353425414364641,2.0502651933701657,0.4482758620689655,-0.6568250760424114,-0.5681140674841609,0.07949199971852698,0.6385038852786098,1.2142192157080105,-0.820590222414838,-1.5736646244186552,1.0583433534731994,0.900082222133365,2.7528053231199854,-0.13369167230870124,0.22184400611540767,306,147,77
502671,"Goldschmidt, Paul",2023,26.4,26.4,1.85,1.84,2.26,4.1,5.585585585585587,0,11,2,13,0.8300113179074446,0.7835873118663028,0.04642400604114183,24.684684684684687,30.270270270270274,33.33333333333334,-0.8373982238274621,175,8,2,12.9156,17.826685714285716,4.911371428571429,11.5984,0.3176285714285714,1.3376114285714285,2.038862857142857,0.25,0.5722776104902066,0.34916714485978206,-1.7308399671579924,-1.2985094543784568,-0.21324488083262036,-2.1867395838349006,-1.5736646244186552,0.012181960470082798,0.45589961667690826,-1.0558547185341687,-0.013875499516543655,0.42121758663216347,259,76,320
502671,"Goldschmidt, Paul",2024,26.3,26.3,1.85,1.84,2.28,4.12,7.129455909943722,0,11,0,11,0.9337627326458753,0.7840579404875769,0.14970479215829835,21.76360225140713,28.89305816135085,28.98686679174483,0.03461187418525562,184,16,7,13.322989130434781,18.72266304347826,5.399728260869565,12.219402173913043,0.2867391304347826,1.321108695652174,2.040342391304348,0.4375,1.8416438055537498,0.4208691122674175,-1.2660329788415277,-0.54980630483671,0.6364574623982789,-2.3575082540124046,-1.5736646244186552,0.5725102705207208,1.091475275170877,1.1781264327324457,0.6864281916412149,1.010499041713404,42,10,153
514888,"Altuve, Jose",2023,26.9,26.9,1.74,1.76,2.15,3.91,43.513513513513516,11,14,2,16,0.8542954153492384,0.7825280893909361,0.07176732595830226,35.4054054054054,78.91891891891892,78.82882882882883,0.23440089269869593,147,24,16,13.400884353741498,19.295306122448977,5.893537414965986,12.279727891156462,0.27500680272108846,1.315843537414966,2.0477142857142856,0.6666666666666666,0.8837581363745863,2.1106538508485584,-0.7960365939470168,-0.2654362926870889,0.7189996908349792,-1.3328962329473624,0.25447478020790726,0.4693787250101821,0.5368596390003456,0.9904230371482359,0.8295744728133494,0.7893104596032654,27,22,166
514888,"Altuve, Jose",2024,27.1,27.1,1.74,1.76,2.14,3.9,37.05440900562852,29,22,7,29,0.7629471683039413,0.7827082300285917,-0.01976106172465042,40.33771106941838,77.3921200750469,80.95684803001876,-0.40694374877255896,172,31,12,12.9125,18.496162790697674,5.583720930232558,11.819011627906978,0.2863953488372093,1.3212093023255813,2.040168604651163,0.3870967741935484,-0.24116592337858342,1.8106736688346137,-1.0909129173150607,-0.5414736721772395,0.08861270526141964,-0.991358892592342,0.25447478020790726,-0.016540241826215052,-0.09955402472271868,-0.5524149916385386,0.20890525436692525,0.25515087613495285,183,129,288
